datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
19/10/2017 7:00,284.93,288.51,285.52,285.15,293.0,291.54,293.27,299.49,281.9,282.84,287.72,289.12,291.92,286.45,281.42,285.7,286.55,281.75,283.7,282.43,286.48,295.67,278.64,297.15,281.03,284.569.929.137,281.49,283.52,283.4,281.33,292.278,298.59,296.02,298.56,298.62,298.209.783.273
19/10/2017 8:00,284.94,287.77,285.33,285.37,292.65,291.15,292.78,298.02,281.47,281.56,285.81,288.48,291.59,285.92,281.29,284.81,286.26,280.75,283.2,281.93,286.03,295.33,278.05,297.02,280.8,284.86,281.07,283.06,283.73,280.78,302.436,302.93,299.49,301.15,301.15,302.71
19/10/2017 9:00,284.65,287.64,285.34,285.15,291.76,291.45,292.81,297.35,281.31,281.28,285.48,287.35,291.36,285.28,280.01,284.52,285.65,280.55,282.92,281.74,285.7,294.83,277.05,296.9,280.19,284.81,280.65,282.29,283.08,280.93,302.436,305.59,301.06,302.56,302.62,305.54
19/10/2017 10:00,284.39,287.15,285.7,284.85,291.53,292.07,292.3,296.84,280.84,280.28,285.78,287.06,291.38,284.42,278.74,284.09,285.15,280.35,282.91,281.23,285.58,294.34,276.87,296.77,280.14,285.07,280.24,282.13,281.7,280.16,302.436,307.71,303.06,303.96,304.08,307.76
19/10/2017 11:00,285.15,286.4,285.97,284.45,291.22,292.0,291.79,296.5,281.11,280.07,286.14,287.44,291.14,283.78,278.09,283.68,284.14,279.15,282.15,280.73,285.25,294.52,276.6,296.4,279.69,285.86,279.65,281.83,281.7,280.16,303.343,303.48,304.43,305.56,305.62,303.32
19/10/2017 12:00,284.92,286.02,286.07,284.45,291.06,292.14,292.63,295.84,280.83,278.77,286.89,286.95,291.06,283.58,277.48,283.23,283.15,279.16,282.16,280.59,284.92,294.49,276.68,296.38,279.34,286.54,279.7,282.37,281.68,280.92,303.343,304.04,305.38,305.56,305.62,303.93
19/10/2017 13:00,284.68,285.89,286.07,284.35,291.22,292.06,292.11,295.94,280.83,278.38,288.52,286.65,291.35,283.28,276.72,282.95,282.74,280.97,283.0,280.24,284.69,294.66,279.95,296.93,282.15,287.15,283.46,285.45,282.68,283.21,303.343,303.04,306.38,303.93,303.75,302.93
19/10/2017 14:00,284.18,285.52,286.06,284.45,291.07,291.55,292.28,295.64,281.09,278.79,291.15,288.39,294.14,283.28,278.86,284.21,284.0,285.16,284.81,283.57,285.33,295.48,284.89,299.03,285.84,288.16,287.3,288.14,287.45,287.23,299.413,303.04,306.38,303.53,303.29,302.93
19/10/2017 15:00,284.15,285.52,286.07,284.37,290.67,290.74,292.28,295.37,285.12,281.06,292.74,291.4,297.14,287.55,281.57,288.75,287.04,288.96,287.46,286.54,287.43,296.82,287.71,301.26,289.15,289.55,289.96,290.82,289.47,290.53,299.413,301.59,306.69,303.53,303.28,301.54
19/10/2017 16:00,284.38,285.53,286.07,284.15,291.51,291.29,293.85,296.35,288.14,285.71,294.64,292.14,297.64,290.73,285.53,292.26,290.14,292.15,289.77,290.14,289.48,298.16,291.14,302.14,290.11,290.76,291.9,292.4,291.45,293.14,299.413,300.15,304.08,301.93,301.75,300.15
19/10/2017 17:00,284.37,285.4,286.7,284.48,292.79,292.57,297.11,297.92,290.91,290.28,297.65,296.75,300.65,293.08,288.54,294.7,290.94,294.34,291.74,292.25,291.44,299.15,293.33,302.57,291.69,291.56,293.31,293.3,292.12,294.57,291.643,299.71,301.15,299.15,299.15,299.76
19/10/2017 18:00,284.79,285.41,287.7,284.65,294.09,294.0,298.23,300.93,292.18,292.49,298.65,297.54,300.93,295.6,291.61,296.12,292.05,295.34,294.15,293.54,293.04,299.65,294.56,302.53,292.85,292.76,293.97,294.33,292.83,295.57,291.643,298.71,300.32,299.15,299.15,298.76
19/10/2017 19:00,284.76,285.53,288.88,284.93,295.21,295.39,299.74,302.92,294.41,294.16,299.7,298.48,301.38,296.52,293.75,297.87,293.06,296.15,295.15,295.23,293.94,299.81,295.7,303.03,293.71,293.15,294.7,294.9,293.8,295.54,291.643,298.26,299.73,299.15,299.15,298.37
19/10/2017 20:00,285.16,286.03,290.33,285.15,296.29,296.08,301.74,304.82,295.41,295.71,300.89,299.9,301.15,298.45,295.15,299.31,293.65,296.14,296.15,296.45,294.82,299.15,295.97,303.03,294.01,293.55,294.88,295.24,293.13,295.54,288.147,297.26,300.01,299.15,299.15,297.37
19/10/2017 21:00,285.15,285.78,290.97,284.92,296.72,296.3,302.45,305.92,295.89,295.94,301.26,300.15,301.26,299.48,295.68,299.29,292.97,297.15,296.14,296.84,294.82,299.48,296.32,302.6,294.32,293.36,294.15,294.65,292.78,294.98,288.147,297.26,300.15,300.947,300.947,297.37
